Urban Center,Population,Area (2016),Population Density,Cost of Living Index (2016),Built-up areas per capita,Road Length per capita (2017),Pedestrian Streets per capita,Rapid Transit to Resident Ratio (RTR),Modal split (Passenger) - by trips - Car (2017),Modal split (Passenger) - by trips - Public Transport (2017),Traffic Index (2018),Average travel speed (2019),Percentage Access to Public Transport,Share of population with access to open public spaces (2020),Surface transport SOx Concentration,Surface transport NOx Concentration,Oxford Economics Global Cities Index (Rank),Oxford Economics Global Cities Index (Economics),Oxford Economics Global Cities Index (Human Capital),Oxford Economics Global Cities Index (Quality of Life),Oxford Economics Global Cities Index (Environment),Oxford Economics Global Cities Index (Governance)
Phoenix,4047095.0,2304.0,6371.10569535157,68.39,700.6714316655837,4.391487564073127,1593.445074975123,0.0,0.875,0.018,137.77,,0.0311738900987199,,0.0012104449329232,0.014157542473696,46.0,25.0,72.0,253.0,67.0,184.0
San Jose,153267.0,,9618.48722712942,61.38,,1.605841223123356,1617.029952504163,,,,154.51,,0.165119414003698,,,,3.0,3.0,28.0,38.0,53.0,184.0
Tijuana,2002000.0,1776.0,9664.99439125875,32.4,241.8224299065421,1.618666559268193,,16.0653630772055,,,,28.03905092,0.0888292519242642,0.5185744420318875,,,448.0,515.0,461.0,633.0,49.0,529.0
Washington D.C.,4810669.0,1550.0,10408.8369956731,91.96,713.103272634662,1.384731692674821,750.9071566202895,30.627045522166,0.753,0.134,206.06,,0.133116321090766,0.5280240014132506,0.001787417953281,0.150798060106575,13.0,11.0,7.0,224.0,314.0,184.0
Caracas,2245744.0,330.0,21982.5256885383,37.03,117.0170567235224,1.271344087191791,1586.573932796438,20.8855189222124,0.41,0.46,,,0.226050846064996,0.3810284291144408,,,632.0,714.0,333.0,719.0,59.0,987.0
Thimphu,104000.0,,,,,,,,,,,0.0,,0.3901483843050657,,,,,,,,
Avarua,5445.0,,,,,,,,,,,,,,,,,,,,,
South Tarawa,28802.0,,,,,,,,,,,,,,,,,,,,,
Alofi,1611.0,,,,,,,,,,,,,,,,,,,,,
Apia,37708.0,,,,,,,,,,,,,0.1721189478488171,,,,,,,,
Nuku'alofa,23221.0,,,,,,,,,,,,,,,,,,,,,
Funafuti,6025.0,,,,,,,,,,,,,,,,,,,,,
Port Vila,51437.0,,,,,,,,,,,,,,,,,,,,,
Herat,556205.0,60.0,38170.8075072409,,43.15352697095436,,,,,,,,0.0,0.5555715315423773,,,,,,,,
Kandahar,614254.0,67.0,22697.8374139888,,93.5251798561151,,,,,,,,0.0,0.4593892891103877,,,,,,,,
Adelaide,1295714.0,507.0,3332.78206301789,,672.6986624704957,,7240.560798638183,9.05447528573549,,,136.91,31.33027146,0.0697068591413008,0.721529653207653,,,51.0,81.0,73.0,152.0,57.0,18.0
